"Date","DissolvedOxygenppm","DissolvedOxygenppm_Qual","WaterTemperature","WaterTemperature_Qual"
"04:00:00 29/05/2012",8.093,2,12.3,2
"04:00:00 29/05/2013",10.367,2,10.6,2
"04:00:00 29/06/2006",10.5,2,8.2,2
"04:00:00 29/06/2007",10.09,2,8.9,2
"04:00:00 29/06/2008",8.082,2,11.6,2
"04:00:00 29/06/2009",9.582,2,9.9,2
"04:00:00 29/06/2010",9.557,15,9,2
"04:00:00 29/06/2011",11.004,2,9.3,2
"04:00:00 29/06/2012",11.037,15,9.4,2
"04:00:00 29/06/2013",8.885,15,8.8,2
"04:00:00 29/07/2006",7.754,2,10.9,2
"04:00:00 29/07/2007",9.014,2,9.3,2
"04:00:00 29/07/2008",NA,NA,9,2
"04:00:00 29/07/2009",9.599,2,10.7,2
"04:00:00 29/07/2010",11.457,15,9.3,2
"04:00:00 29/07/2011",10.425,2,9.5,2
"04:00:00 29/07/2013",10.809,2,9.3,2
"04:00:00 29/08/2006",7.791,2,11.9,2
"04:00:00 29/08/2007",10.537,2,12,2
"04:00:00 29/08/2008",10.469,2,10.7,2
"04:00:00 29/08/2009",9.489,2,12.8,2
"04:00:00 29/08/2010",11.048,15,9.7,2
"04:00:00 29/08/2011",9.419,2,10.4,2
"04:00:00 29/08/2013",10.612,2,11.7,2
"04:00:00 29/09/2006",9.891,2,14.1,2
"04:00:00 29/09/2007",8.488,2,13.5,2
"04:00:00 29/09/2008",NA,NA,15.6,2
"04:00:00 29/09/2009",9.605,2,13.4,2
"04:00:00 29/09/2010",8.785,2,13,2
"04:00:00 29/09/2011",8.501,2,15,2
"04:00:00 29/09/2012",9.43,2,13.2,2
"04:00:00 29/09/2013",9.266,2,13.3,2
"04:00:00 29/10/2005",6.72,100,NA,170
"04:00:00 29/10/2006",8.348,2,14.5,2
"04:00:00 29/10/2007",NA,NA,17.3,2
"04:00:00 29/10/2008",7.536,2,17,2
"04:00:00 29/10/2009",NA,180,16.3,2
"04:00:00 29/10/2010",NA,180,NA,180
"04:00:00 29/10/2011",7.394,2,19.9,2
"04:00:00 29/10/2012",8.315,2,17.3,2
"04:00:00 29/10/2013",8.993,2,16.8,2
"04:00:00 29/11/2005",5.949,100,NA,170
"04:00:00 29/11/2006",5.947,2,21.1,2
"04:00:00 29/11/2007",6.71,2,20.6,2
"04:00:00 29/11/2008",7.958,2,16.5,2
"04:00:00 29/11/2009",6.997,2,21.6,2
"04:00:00 29/11/2010",7.267,2,18.8,2
"04:00:00 29/11/2011",8.495,15,20,2
"04:00:00 29/11/2012",6.753,2,22,2
"04:00:00 29/11/2013",9.056,2,18.9,2
"04:00:00 29/12/2005",5.9,100,NA,170
"04:00:00 29/12/2006",6.269,2,19.9,2
"04:00:00 29/12/2009",6.861,2,22,2
"04:00:00 29/12/2010",7.474,100,19.8,2
"04:00:00 29/12/2011",NA,161,21.4,2
"04:00:00 29/12/2012",6.74,2,20.8,2
"04:00:00 29/12/2013",7.498,15,22,2
"04:00:00 30/01/2006",NA,NA,NA,170
"04:00:00 30/01/2007",6.779,2,20,2
"04:00:00 30/01/2008",4.803,2,23.9,2
"04:00:00 30/01/2009",NA,180,NA,180
"04:00:00 30/01/2010",6.584,2,23,2
"04:00:00 30/01/2011",5.393,100,22.6,2
"04:00:00 30/01/2012",NA,161,26.3,2
"04:00:00 30/01/2013",NA,180,20,2
"04:00:00 30/01/2014",7.28,2,23.1,2
"04:00:00 30/03/2006",6.309,2,18.5,2
"04:00:00 30/03/2007",NA,NA,18,2
"04:00:00 30/03/2008",7.118,2,16.3,2
"04:00:00 30/03/2009",5.889,50,18.7,2
"04:00:00 30/03/2010",7.163,2,21,2
"04:00:00 30/03/2011",8.003,2,20.2,2
"04:00:00 30/03/2012",8.043,2,18.8,2
"04:00:00 30/03/2013",8.712,100,17.9,2
"04:00:00 30/04/2006",8.375,2,NA,NA
"04:00:00 30/04/2007",5.687,2,NA,NA
"04:00:00 30/04/2008",NA,NA,13.2,2
"04:00:00 30/04/2009",NA,NA,12.2,2
"04:00:00 30/04/2010",NA,180,16,2
"04:00:00 30/04/2011",9.358,2,16.7,2
"04:00:00 30/05/2006",9.184,2,11.8,2
"04:00:00 30/05/2007",7.277,2,12.9,2
"04:00:00 30/05/2008",NA,NA,11.5,2
"04:00:00 30/05/2009",7.894,2,12.1,2
"04:00:00 30/05/2010",9.221,2,13.2,2
"04:00:00 30/05/2011",9.622,2,13.2,2
"04:00:00 30/05/2012",8.861,2,11.9,2
"04:00:00 30/05/2013",10.457,2,11.1,2
"04:00:00 30/06/2006",10.5,2,7.5,2
"04:00:00 30/06/2007",NA,NA,8.9,2
"04:00:00 30/06/2008",7.932,2,11.6,2
"04:00:00 30/06/2009",9.659,2,10.9,2
"04:00:00 30/06/2010",9.764,15,9,2
"04:00:00 30/06/2011",11.131,2,8.6,2
"04:00:00 30/06/2012",10.872,15,9.6,2
"04:00:00 30/06/2013",8.995,15,8.8,2
"04:00:00 30/07/2006",7.794,2,10.6,2
"04:00:00 30/07/2007",NA,NA,8.1,2
"04:00:00 30/07/2008",10.139,2,8.8,2
"04:00:00 30/07/2009",9.25,2,11.1,2
"04:00:00 30/07/2010",11.364,15,9.6,2
"04:00:00 30/07/2011",10.397,2,9.7,2
"04:00:00 30/07/2013",10.728,2,9.8,2
"04:00:00 30/08/2006",7.604,2,11.6,2
"04:00:00 30/08/2007",8.046,2,11.7,2
"04:00:00 30/08/2008",10.175,2,NA,NA
"04:00:00 30/08/2009",9.34,2,12.6,2
"04:00:00 30/08/2010",11.035,15,9.9,2
"04:00:00 30/08/2011",7.719,2,10.2,2
"04:00:00 30/08/2013",10.642,2,10.9,2
"04:00:00 30/09/2006",10.179,2,15.2,2
"04:00:00 30/09/2007",8.738,2,13.8,2
"04:00:00 30/09/2008",10.649,2,14.5,2
"04:00:00 30/09/2009",9.619,2,14.5,2
"04:00:00 30/09/2010",8.848,2,12.9,2
"04:00:00 30/09/2011",8.904,2,14.5,2
"04:00:00 30/09/2012",9.67,2,12.8,2
"04:00:00 30/09/2013",9.88,2,14.2,2
"04:00:00 30/10/2005",6.762,100,NA,170
"04:00:00 30/10/2006",8.536,2,14.8,2
"04:00:00 30/10/2007",7.358,2,17.3,2
"04:00:00 30/10/2008",6.417,2,17,2
"04:00:00 30/10/2009",6.854,2,17.8,2
"04:00:00 30/10/2011",7.497,2,18.1,2
"04:00:00 30/10/2012",7.6,2,18.1,2
"04:00:00 30/10/2013",8.63,2,16.7,2
"04:00:00 30/11/2005",6.575,100,NA,170
"04:00:00 30/11/2006",6.155,2,20.1,2
"04:00:00 30/11/2007",6.209,2,19.5,2
"04:00:00 30/11/2008",8.439,2,17.4,2
"04:00:00 30/11/2009",6.968,2,21,2
"04:00:00 30/11/2010",7.414,2,19.4,2
"04:00:00 30/11/2011",8.511,50,19.7,2
"04:00:00 30/11/2012",5.333,2,24.4,2
"04:00:00 30/11/2013",8.946,2,18,2
"04:00:00 30/12/2005",5.6,100,NA,170
"04:00:00 30/12/2006",6.039,2,20.3,2
"04:00:00 30/12/2009",6.795,2,22.1,2
"04:00:00 30/12/2010",7.331,100,20.8,2
"04:00:00 30/12/2011",NA,161,22,2
"04:00:00 30/12/2012",6.652,2,20.7,2
"04:00:00 30/12/2013",7.651,15,21.2,2
"04:00:00 31/01/2006",NA,NA,NA,170
"04:00:00 31/01/2007",6.498,2,21.2,2
"04:00:00 31/01/2008",4.663,2,NA,NA
"04:00:00 31/01/2009",NA,180,NA,180
"04:00:00 31/01/2010",5.973,2,23.2,2
"04:00:00 31/01/2011",4.275,100,23.4,2
"04:00:00 31/01/2012",NA,161,24,2
"04:00:00 31/01/2013",NA,180,21.4,2
"04:00:00 31/01/2014",6.832,2,24.8,2
"04:00:00 31/03/2006",6.35,2,18.4,2
"04:00:00 31/03/2007",5.304,2,16.8,2
"04:00:00 31/03/2008",7.345,2,16.1,2
"04:00:00 31/03/2009",NA,NA,19.2,2
"04:00:00 31/03/2010",6.287,2,20,2
"04:00:00 31/03/2011",8.1,2,19.7,2
"04:00:00 31/03/2012",7.955,2,18.8,2
"04:00:00 31/03/2013",8.311,100,18.7,2
"04:00:00 31/05/2006",8.807,2,11.9,2
"04:00:00 31/05/2007",NA,NA,10.5,2
"04:00:00 31/05/2008",NA,NA,11.3,2
"04:00:00 31/05/2009",7.871,2,12.6,2
"04:00:00 31/05/2010",9.086,2,13.5,2
"04:00:00 31/05/2011",9.928,2,12.8,2
"04:00:00 31/05/2012",9.029,2,12.2,2
"04:00:00 31/05/2013",10.247,2,11.5,2
"04:00:00 31/07/2006",7.634,2,10.5,2
"04:00:00 31/07/2007",NA,NA,8.3,2
"04:00:00 31/07/2008",10.089,2,8.9,2
"04:00:00 31/07/2009",9.301,2,11.5,2
"04:00:00 31/07/2010",10.937,15,9.3,2
"04:00:00 31/07/2011",10.369,2,9.5,2
"04:00:00 31/07/2013",10.747,2,10,2
"04:00:00 31/08/2006",NA,NA,12.7,2
"04:00:00 31/08/2007",7.955,2,12.5,2
"04:00:00 31/08/2008",9.881,2,11.8,2
"04:00:00 31/08/2009",9.292,2,12,2
"04:00:00 31/08/2010",11.021,15,9.8,2
"04:00:00 31/08/2011",8.12,2,10.5,2
"04:00:00 31/08/2013",10.571,2,11.7,2
"04:00:00 31/10/2005",7.105,100,NA,170
"04:00:00 31/10/2006",7.925,2,16.2,2
"04:00:00 31/10/2007",7.352,2,17.8,2
"04:00:00 31/10/2008",6.498,2,17.7,2
"04:00:00 31/10/2009",6.426,2,18.7,2
"04:00:00 31/10/2011",8,2,18,2
"04:00:00 31/10/2012",7.5,2,19.2,2
"04:00:00 31/10/2013",8.773,2,17.2,2
"04:00:00 31/12/2005",5.5,100,NA,170
"04:00:00 31/12/2006",6.01,2,21.6,2
"04:00:00 31/12/2009",6.829,2,23.1,2
"04:00:00 31/12/2010",6.087,100,20,2
"04:00:00 31/12/2011",NA,161,22,2
"04:00:00 31/12/2012",5.764,2,21.5,2
"04:00:00 31/12/2013",7.504,15,21.9,2
"04:01:00 10/01/2009",NA,NA,19.6,2
"04:01:00 14/01/2009",NA,NA,22.2,2
"04:01:00 15/01/2009",8.989,2,NA,NA
"04:02:00 14/01/2009",NA,NA,22.1,2
"04:02:00 15/01/2009",9.089,2,NA,NA
"04:03:00 02/05/2013",9.551,15,11.7,2
"04:03:00 03/05/2013",9.714,15,11.2,2
"04:03:00 04/05/2013",9.577,15,11.5,2
"04:03:00 05/05/2013",9.74,15,11.3,2
"04:03:00 06/05/2013",9.703,15,11.4,2
"04:03:00 07/05/2013",9.665,15,11.2,2
"04:03:00 08/05/2013",9.728,15,11.6,2
"04:03:00 09/05/2013",9.991,15,11.4,2
"04:03:00 10/05/2013",10.154,15,11.8,2
"04:03:00 11/05/2013",10.117,15,12.1,2
"04:03:00 12/05/2013",10.08,15,12.3,2
"04:03:00 13/05/2013",10.043,15,12.7,2
"04:03:00 14/05/2013",10.206,15,12.1,2
"04:03:00 15/05/2013",10.168,15,11.9,2
"04:04:00 02/01/2009",6.99,2,NA,NA
"04:04:00 23/12/2008",NA,NA,20.5,2
"04:05:00 02/01/2009",6.89,2,NA,NA
"04:05:00 11/01/2009",NA,NA,20.8,2
"04:05:00 23/12/2008",NA,NA,20.4,2
"04:05:00 29/12/2008",6.452,2,NA,NA
"04:06:00 02/05/2013",9.551,15,11.7,2
"04:06:00 03/05/2013",9.714,15,11.2,2
"04:06:00 04/05/2013",9.577,15,11.5,2
"04:06:00 05/01/2009",NA,NA,20,2
"04:06:00 05/05/2013",9.74,15,11.3,2
"04:06:00 06/05/2013",9.703,15,11.4,2
"04:06:00 07/05/2013",9.666,15,11.2,2
"04:06:00 08/05/2013",9.828,15,11.6,2
"04:06:00 09/05/2013",9.991,15,11.4,2
"04:06:00 10/05/2013",10.154,15,11.8,2
"04:06:00 11/01/2009",NA,NA,20.7,2
"04:06:00 11/05/2013",10.117,15,12.1,2
"04:06:00 12/05/2013",10.08,15,12.3,2
"04:06:00 13/05/2013",10.043,15,12.7,2
"04:06:00 14/05/2013",10.206,15,12.1,2
"04:06:00 15/05/2013",10.169,15,11.9,2
"04:06:00 29/12/2008",6.352,2,NA,NA
"04:07:00 05/01/2009",NA,NA,19.9,2
"04:09:00 02/05/2013",9.551,15,11.7,2
"04:09:00 03/05/2013",9.714,15,11.2,2
"04:09:00 04/05/2013",9.577,15,11.5,2
"04:09:00 05/05/2013",9.74,15,11.3,2
"04:09:00 06/05/2013",9.703,15,11.4,2
"04:09:00 07/05/2013",9.666,15,11.2,2
"04:09:00 08/05/2013",9.729,15,11.6,2
"04:09:00 09/05/2013",9.991,15,11.4,2
"04:09:00 10/05/2013",10.154,15,11.8,2
"04:09:00 11/05/2013",10.117,15,12.1,2
"04:09:00 12/05/2013",10.08,15,12.3,2
"04:09:00 13/05/2013",10.043,15,12.7,2
"04:09:00 14/05/2013",10.206,15,12.1,2
"04:09:00 15/05/2013",10.169,15,11.9,2
"04:12:00 02/05/2013",9.551,15,11.6,2
"04:12:00 03/05/2013",9.714,15,11.2,2
"04:12:00 04/05/2013",9.577,15,11.5,2
"04:12:00 05/05/2013",9.74,15,11.3,2
"04:12:00 06/05/2013",9.703,15,11.4,2
"04:12:00 07/05/2013",9.666,15,11.2,2
"04:12:00 08/05/2013",9.729,15,11.6,2
"04:12:00 09/05/2013",9.992,15,11.4,2
"04:12:00 10/05/2013",10.154,15,11.8,2
"04:12:00 11/05/2013",10.117,15,12.1,2
"04:12:00 12/01/2009",7.836,2,NA,NA
"04:12:00 12/05/2013",10.08,15,12.3,2
"04:12:00 13/05/2013",10.043,15,12.7,2
"04:12:00 14/05/2013",10.206,15,12.1,2
"04:12:00 15/05/2013",10.169,15,11.9,2
"04:13:00 12/01/2009",7.736,2,NA,NA
"04:13:00 14/01/2009",9.405,2,NA,NA
"04:14:00 01/01/2009",8.206,2,NA,NA
"04:14:00 09/01/2009",NA,NA,20,2
"04:14:00 14/01/2009",9.505,2,NA,NA
"04:15:00 01/01/2009",8.306,2,NA,NA
"04:15:00 01/01/2013",4.976,2,22.2,2
"04:15:00 02/05/2013",9.552,15,11.6,2
"04:15:00 02/12/2007",7.408,2,19.9,2
"04:15:00 03/05/2013",9.714,15,11.1,2
"04:15:00 04/01/2009",7.36,2,NA,NA
"04:15:00 04/05/2013",9.577,15,11.5,2
"04:15:00 05/05/2013",9.74,15,11.3,2
"04:15:00 06/05/2013",9.703,15,11.4,2
"04:15:00 07/02/2008",3.787,2,23.7,2
"04:15:00 07/05/2013",9.666,15,11.1,2
"04:15:00 08/05/2013",9.729,15,11.6,2
"04:15:00 09/01/2009",NA,NA,19.9,2
"04:15:00 09/02/2012",NA,161,20.6,2
"04:15:00 09/05/2013",9.992,15,11.3,2
"04:15:00 10/05/2013",10.155,15,11.8,2
"04:15:00 11/05/2013",10.117,15,12.1,2
"04:15:00 12/05/2013",10.08,15,12.3,2
"04:15:00 13/05/2013",10.043,15,12.7,2
"04:15:00 13/12/2007",4.7,2,19.9,2
"04:15:00 14/05/2013",10.206,15,12.1,2
"04:15:00 15/05/2013",10.169,15,11.9,2
"04:15:00 17/09/2008",8.283,2,NA,NA
"04:15:00 21/02/2011",6.293,100,21.1,2
"04:15:00 23/03/2010",6.494,2,20.7,2
"04:15:00 25/01/2009",NA,180,NA,180
"04:15:00 26/01/2009",NA,180,NA,180
"04:15:00 28/06/2007",9.879,2,8.3,2
"04:16:00 04/01/2009",7.26,2,NA,NA
"04:16:00 05/01/2009",6.944,2,NA,NA
"04:16:00 15/01/2009",NA,NA,23.1,2
"04:16:52 16/09/2012",NA,NA,NA,151
"04:17:00 05/01/2009",6.844,2,NA,NA
"04:17:00 15/01/2009",NA,NA,23,2
"04:18:00 02/01/2009",6.891,2,NA,NA
"04:18:00 02/05/2013",9.552,15,11.6,2
"04:18:00 03/05/2013",9.715,15,11.1,2
"04:18:00 04/05/2013",9.577,15,11.5,2
"04:18:00 05/05/2013",9.74,15,11.3,2
"04:18:00 06/05/2013",9.703,15,11.4,2
"04:18:00 07/05/2013",9.666,15,11.1,2
"04:18:00 08/05/2013",9.729,15,11.5,2
"04:18:00 09/05/2013",9.992,15,11.3,2
"04:18:00 10/05/2013",10.155,15,11.8,2
"04:18:00 11/05/2013",10.118,15,12.1,2
"04:18:00 12/05/2013",10.08,15,12.3,2
"04:18:00 13/05/2013",10.043,15,12.7,2
"04:18:00 14/05/2013",10.206,15,12.1,2
"04:18:00 15/05/2013",10.169,15,11.9,2
"04:19:00 02/01/2009",6.991,2,NA,NA
"04:21:00 02/05/2013",9.552,15,11.6,2
"04:21:00 03/05/2013",9.715,15,11.1,2
"04:21:00 04/05/2013",9.578,15,11.5,2
"04:21:00 05/05/2013",9.74,15,11.3,2
"04:21:00 06/05/2013",9.703,15,11.4,2
"04:21:00 07/05/2013",9.666,15,11.1,2
"04:21:00 08/05/2013",9.729,15,11.5,2
"04:21:00 09/05/2013",9.992,15,11.3,2
"04:21:00 10/05/2013",10.155,15,11.7,2
"04:21:00 11/05/2013",10.118,15,12.1,2
"04:21:00 12/05/2013",10.081,15,12.3,2
"04:21:00 13/05/2013",10.043,15,12.7,2
"04:21:00 14/05/2013",10.206,15,12.1,2
"04:21:00 15/05/2013",10.169,15,11.9,2
"04:22:00 31/12/2008",NA,NA,20.6,2
"04:23:00 31/12/2008",NA,NA,20.5,2
"04:24:00 02/05/2013",9.552,15,11.6,2
"04:24:00 03/05/2013",9.715,15,11.1,2
"04:24:00 04/05/2013",9.578,15,11.5,2
"04:24:00 05/05/2013",9.741,15,11.3,2
"04:24:00 06/05/2013",9.703,15,11.4,2
"04:24:00 07/01/2009",6.814,2,NA,NA
"04:24:00 07/05/2013",9.666,15,11.1,2
"04:24:00 08/05/2013",9.729,15,11.5,2
"04:24:00 09/05/2013",9.992,15,11.3,2
"04:24:00 10/01/2009",NA,NA,19.6,2
"04:24:00 10/05/2013",10.155,15,11.7,2
"04:24:00 11/05/2013",10.118,15,12.1,2
"04:24:00 12/05/2013",10.081,15,12.3,2
"04:24:00 13/05/2013",10.044,15,12.8,2
"04:24:00 14/05/2013",10.206,15,12.1,2
"04:24:00 15/05/2013",10.169,15,11.8,2
"04:25:00 07/01/2009",6.714,2,NA,NA
"04:25:00 10/01/2009",NA,NA,19.5,2
"04:25:00 28/12/2008",6.769,100,NA,NA
"04:26:00 12/01/2009",NA,NA,20.9,2
"04:26:00 28/12/2008",6.868,100,NA,NA
"04:27:00 02/05/2013",9.552,15,11.6,2
"04:27:00 03/05/2013",9.715,15,11.1,2
"04:27:00 04/05/2013",9.578,15,11.5,2
"04:27:00 05/05/2013",9.741,15,11.3,2
"04:27:00 06/05/2013",9.704,15,11.4,2
"04:27:00 07/05/2013",9.666,15,11.1,2
"04:27:00 08/05/2013",9.729,15,11.5,2
"04:27:00 09/05/2013",9.992,15,11.3,2
"04:27:00 10/05/2013",10.155,15,11.7,2
"04:27:00 11/05/2013",10.118,15,12,2
"04:27:00 12/01/2009",NA,NA,20.8,2
"04:27:00 12/05/2013",10.081,15,12.3,2
"04:27:00 13/05/2013",10.044,15,12.8,2
"04:27:00 14/05/2013",10.207,15,12.1,2
"04:27:00 15/05/2013",10.169,15,11.8,2
"04:27:00 26/12/2008",9.6,100,NA,NA
"04:27:00 28/12/2008",6.869,100,NA,NA
"04:28:00 03/01/2009",7.376,2,NA,NA
"04:28:00 26/12/2008",9.5,100,NA,NA
"04:28:00 28/12/2008",6.769,100,NA,NA
"04:29:00 03/01/2009",7.476,2,NA,NA
"04:29:00 09/01/2009",7.483,2,NA,NA
"04:30:00 01/01/2013",4.776,2,22.1,2
"04:30:00 02/05/2013",9.552,15,11.6,2
"04:30:00 02/10/2008",8.023,2,14.1,2
"04:30:00 02/12/2007",7.508,2,19.7,2
"04:30:00 03/05/2013",9.715,15,11.1,2
"04:30:00 04/05/2013",9.578,15,11.5,2
"04:30:00 05/02/2012",NA,161,22.8,2
"04:30:00 05/05/2013",9.741,15,11.3,2
"04:30:00 05/11/2007",9.821,2,NA,NA
"04:30:00 06/05/2013",9.704,15,11.4,2
"04:30:00 07/05/2013",9.667,15,11.1,2
"04:30:00 08/05/2013",9.729,15,11.5,2
"04:30:00 09/01/2009",7.583,2,NA,NA
"04:30:00 09/01/2010",6.64,2,24.3,2
"04:30:00 09/02/2012",NA,161,20.6,2
"04:30:00 09/04/2011",7.022,2,17.5,2
"04:30:00 09/05/2013",9.992,15,11.3,2
"04:30:00 10/03/2011",5.467,100,20.1,2
"04:30:00 10/05/2013",10.155,15,11.7,2
"04:30:00 11/05/2013",10.118,15,12,2
"04:30:00 12/05/2013",10.081,15,12.3,2
"04:30:00 13/01/2009",NA,NA,21.6,2
"04:30:00 13/05/2013",10.044,15,12.8,2
"04:30:00 13/10/2006",8.43,2,17.6,2
"04:30:00 13/12/2006",5.343,2,18.6,2
"04:30:00 13/12/2007",4.7,2,19.8,2
"04:30:00 14/02/2012",NA,161,21.1,2
"04:30:00 14/05/2013",10.207,15,12.1,2
"04:30:00 15/05/2013",10.17,15,11.8,2
"04:30:00 15/10/2006",8.507,2,16.4,2
"04:30:00 16/04/2010",7.764,2,16.4,2
"04:30:00 17/10/2007",7.643,2,15.1,2
"04:30:00 19/01/2009",7.753,2,NA,NA
"04:30:00 20/11/2007",8.525,2,NA,NA
"04:30:00 21/02/2011",6.693,100,21.1,2
"04:30:00 22/11/2007",7.112,2,NA,NA
"04:30:00 23/04/2010",7.89,2,19,2
"04:30:00 24/03/2010",6.418,2,20.9,2
"04:30:00 25/01/2009",NA,180,NA,NA
"04:30:00 27/03/2006",5.862,2,18.6,2
"04:30:00 28/06/2007",9.979,2,8.2,2
"04:30:00 29/01/2009",NA,180,NA,180
"04:30:00 29/10/2007",NA,NA,17.2,2
"04:30:00 31/01/2009",NA,180,NA,180
"04:30:00 31/08/2007",8.055,2,12.5,2
"04:31:00 13/01/2009",NA,NA,21.5,2
"04:32:00 09/01/2009",7.583,2,NA,NA
"04:33:00 02/05/2013",9.552,15,11.6,2
"04:33:00 03/05/2013",9.715,15,11.1,2
"04:33:00 04/05/2013",9.578,15,11.5,2
"04:33:00 05/05/2013",9.741,15,11.3,2
"04:33:00 06/05/2013",9.704,15,11.3,2
"04:33:00 07/05/2013",9.667,15,11.1,2
"04:33:00 08/05/2013",9.73,15,11.5,2
"04:33:00 09/01/2009",7.483,2,NA,NA
"04:33:00 09/05/2013",9.992,15,11.3,2
"04:33:00 10/05/2013",10.155,15,11.7,2
"04:33:00 11/05/2013",10.118,15,12,2
"04:33:00 12/05/2013",10.081,15,12.2,2
"04:33:00 13/05/2013",10.044,15,12.8,2
"04:33:00 14/05/2013",10.207,15,12.1,2
"04:33:00 15/05/2013",10.17,15,11.8,2
"04:34:00 09/01/2009",7.583,2,NA,NA
"04:35:00 09/01/2009",7.483,2,NA,NA
"04:35:00 12/01/2009",7.737,2,NA,NA
"04:35:00 14/01/2009",NA,NA,22.1,2
"04:36:00 02/05/2013",9.552,15,11.6,2
"04:36:00 03/05/2013",9.715,15,11.1,2
"04:36:00 04/05/2013",9.578,15,11.5,2
"04:36:00 05/05/2013",9.741,15,11.3,2
"04:36:00 06/05/2013",9.704,15,11.4,2
"04:36:00 07/05/2013",9.667,15,11.1,2
"04:36:00 08/05/2013",9.73,15,11.5,2
"04:36:00 09/05/2013",9.993,15,11.3,2
"04:36:00 10/05/2013",10.155,15,11.7,2
"04:36:00 11/05/2013",10.118,15,12,2
"04:36:00 12/01/2009",7.637,2,NA,NA
"04:36:00 12/05/2013",10.081,15,12.2,2
"04:36:00 13/05/2013",10.044,15,12.8,2
"04:36:00 14/01/2009",NA,NA,22,2
"04:36:00 14/05/2013",10.207,15,12.1,2
"04:36:00 15/05/2013",10.17,15,11.8,2
"04:37:00 08/01/2009",6.899,2,NA,NA
"04:37:00 11/01/2009",NA,NA,20.7,2
"04:38:00 07/01/2009",NA,NA,22.2,2
"04:38:00 08/01/2009",6.799,2,NA,NA
"04:38:00 11/01/2009",NA,NA,20.6,2
"04:38:00 15/01/2009",NA,NA,23,2
"04:39:00 02/05/2013",9.553,15,11.6,2
"04:39:00 03/05/2013",9.715,15,11.1,2
"04:39:00 04/05/2013",9.578,15,11.5,2
"04:39:00 05/05/2013",9.741,15,11.2,2
"04:39:00 06/05/2013",9.704,15,11.3,2
"04:39:00 07/01/2009",NA,NA,22.3,2
"04:39:00 07/05/2013",9.667,15,11.1,2
"04:39:00 08/05/2013",9.73,15,11.5,2
"04:39:00 09/05/2013",9.993,15,11.3,2
"04:39:00 10/05/2013",10.156,15,11.7,2
"04:39:00 11/05/2013",10.118,15,12,2
"04:39:00 12/05/2013",10.081,15,12.2,2
"04:39:00 13/05/2013",10.044,15,12.8,2
"04:39:00 14/05/2013",10.207,15,12.1,2
"04:39:00 15/01/2009",NA,NA,22.9,2
"04:39:00 15/05/2013",10.17,15,11.8,2
"04:40:00 01/01/2009",NA,NA,21.4,2
"04:40:00 03/01/2009",NA,NA,19.1,2
"04:41:00 01/01/2009",8.308,2,21.3,2
"04:41:00 03/01/2009",NA,NA,19,2
"04:41:00 30/12/2008",6.339,2,NA,NA
"04:42:00 01/01/2009",8.408,2,NA,NA
"04:42:00 02/05/2013",9.553,15,11.6,2
"04:42:00 03/05/2013",9.715,15,11.1,2
"04:42:00 04/05/2013",9.578,15,11.5,2
"04:42:00 05/05/2013",9.741,15,11.2,2
"04:42:00 06/05/2013",9.704,15,11.3,2
"04:42:00 07/05/2013",9.667,15,11.1,2
"04:42:00 08/05/2013",9.73,15,11.5,2
"04:42:00 09/05/2013",9.993,15,11.3,2
"04:42:00 10/05/2013",10.156,15,11.7,2
"04:42:00 11/01/2009",8.953,2,NA,NA
"04:42:00 11/05/2013",10.119,15,12,2
"04:42:00 12/05/2013",10.081,15,12.2,2
"04:42:00 13/05/2013",10.044,15,12.8,2
"04:42:00 14/05/2013",10.207,15,12.1,2
"04:42:00 15/05/2013",10.17,15,11.8,2
"04:42:00 27/12/2008",NA,NA,20.5,2
"04:42:00 30/12/2008",6.239,2,NA,NA
"04:43:00 11/01/2009",8.853,2,NA,NA
"04:43:00 27/12/2008",NA,NA,20.4,2
"04:44:00 11/01/2009",8.953,2,NA,NA
"04:45:00 01/01/2013",5.076,2,22.1,2
"04:45:00 02/01/2009",NA,NA,19.5,2
"04:45:00 02/02/2012",NA,161,21.8,2
"04:45:00 02/05/2013",9.553,15,11.6,2
"04:45:00 03/05/2013",9.716,15,11.1,2
"04:45:00 04/02/2012",NA,161,22.1,2
"04:45:00 04/05/2013",9.579,15,11.4,2
"04:45:00 05/01/2007",NA,NA,24,2
"04:45:00 05/02/2012",NA,161,22.7,2
"04:45:00 05/05/2013",9.741,15,11.2,2
"04:45:00 06/02/2012",NA,161,21.3,2
"04:45:00 06/05/2013",9.704,15,11.3,2
"04:45:00 07/02/2008",4.091,2,23.6,2
"04:45:00 07/02/2012",NA,161,20.9,2
"04:45:00 07/03/2010",4.809,2,23.1,2
"04:45:00 07/05/2013",9.667,15,11.1,2
"04:45:00 07/10/2007",8.185,2,15.5,2
"04:45:00 07/11/2008",5.671,2,17.8,2
"04:45:00 08/05/2013",9.73,15,11.5,2
"04:45:00 09/02/2012",NA,161,20.6,2
"04:45:00 09/05/2013",9.993,15,11.3,2
"04:45:00 10/02/2010",4.359,2,23.8,2
"04:45:00 10/05/2013",10.156,15,11.7,2
"04:45:00 11/05/2013",10.119,15,12,2
"04:45:00 12/02/2012",NA,161,20.9,2
"04:45:00 12/04/2010",7.793,2,16.6,2
"04:45:00 12/05/2013",10.082,15,12.2,2
"04:45:00 13/05/2013",10.045,15,12.8,2
"04:45:00 13/10/2007",8.181,2,15.4,2
